Altitude,Layer,Apterogasterine oribatid mites,Diadocidiidae,Enchytraediae,Entomobryidae,Formicidae,Isotomidae,Macropylina,Mesostigmata,Neanridae,Onychiuridae,Phoridae,Pterogasterine oribatid mites,Ptychoid oribatid mites,Tomoceridae,Total Abundance
1020,Up-ground,23,0,0,18,54,8,15,62,5,13,0,12,0,10,220
1026.355932,Up-ground,24,44,50,11,3,76,1,44,21,40,2,15,10,13,354
1032.711864,Up-ground,41,111,25,12,11,164,6,88,18,29,14,6,4,8,537
1039.067797,Up-ground,13,40,9,7,5,22,9,47,9,10,2,6,1,0,180
1045.423729,Up-ground,17,0,3,26,3,40,18,37,10,31,9,5,6,21,226
1051.779661,Up-ground,6,16,14,0,14,50,6,28,17,15,6,0,8,0,180
1058.135593,Up-ground,7,18,3,14,0,51,13,27,7,23,3,19,1,1,187
1064.491525,Up-ground,78,20,5,12,0,110,5,45,11,28,6,10,2,0,332
1070.847458,Up-ground,21,15,4,16,2,25,2,54,13,8,3,2,4,2,171
1077.20339,Up-ground,51,17,0,20,1,27,4,98,1,33,3,9,5,9,278
1083.559322,Up-ground,38,32,31,21,2,32,21,40,10,115,7,18,6,17,390
1089.915254,Up-ground,65,30,13,22,6,28,11,32,4,68,4,14,11,0,308
1096.271186,Up-ground,77,19,18,15,11,37,17,76,8,78,8,12,14,14,404
1102.627119,Up-ground,34,12,12,37,0,11,7,76,3,36,2,8,8,21,267
1108.983051,Up-ground,55,53,26,10,1,44,14,65,9,73,2,20,5,6,383
1115.338983,Up-ground,30,13,16,9,0,26,5,24,4,64,1,8,2,25,227
1121.694915,Up-ground,47,27,10,20,1,40,32,38,2,20,4,14,7,12,274
1128.050847,Up-ground,65,68,10,23,27,47,18,58,3,92,0,6,7,40,464
1134.40678,Up-ground,46,63,20,26,29,116,5,140,16,65,6,10,3,11,556
1140.762712,Up-ground,25,17,25,11,15,23,17,45,5,100,7,7,3,5,305
1147.118644,Up-ground,48,25,16,37,5,16,39,55,4,79,7,14,4,118,467
1153.474576,Up-ground,62,8,4,17,30,45,35,54,10,790,6,17,21,106,1205
1159.830508,Up-ground,60,13,9,29,4,24,26,142,14,469,10,3,13,56,872
1166.186441,Up-ground,73,14,11,30,17,66,13,126,25,160,20,5,13,32,605
1172.542373,Up-ground,13,9,13,11,5,32,20,69,16,33,1,8,6,18,254
1178.898305,Up-ground,62,16,18,35,10,32,30,102,18,110,8,20,7,41,509
1185.254237,Up-ground,44,2,2,22,18,15,4,41,1,6,2,1,40,26,224
1191.610169,Up-ground,51,5,27,17,9,25,5,49,12,15,1,5,4,10,235
1197.966102,Up-ground,60,11,8,29,20,37,3,65,25,158,4,8,15,7,450
1204.322034,Up-ground,25,26,24,13,17,37,3,76,7,25,5,0,4,3,265
1210.677966,Up-ground,30,13,1,29,3,44,4,127,16,7,1,0,8,3,286
1217.033898,Up-ground,51,11,17,54,17,115,7,108,15,13,5,1,2,13,429
1223.389831,Up-ground,60,15,16,43,6,14,2,107,13,17,2,4,6,1,306
1229.745763,Up-ground,47,28,19,43,4,47,5,70,16,8,3,2,3,3,298
1236.101695,Up-ground,49,32,24,32,16,28,21,74,29,25,1,15,10,9,365
1242.457627,Up-ground,136,18,4,56,26,43,49,121,14,34,4,18,40,16,579
1248.813559,Up-ground,98,12,3,66,11,36,127,105,10,31,1,11,15,14,540
1255.169492,Up-ground,39,7,5,19,43,34,23,110,11,18,8,7,5,11,340
1261.525424,Up-ground,158,37,6,88,22,72,48,229,23,36,0,49,7,37,812
1267.881356,Up-ground,167,29,1,102,12,208,59,196,38,206,3,21,33,34,1109
1274.237288,Up-ground,90,14,0,16,7,22,10,77,18,23,2,11,2,10,302
1280.59322,Up-ground,221,11,3,43,28,94,50,313,16,65,3,99,19,35,1000
1286.949153,Up-ground,142,21,0,60,16,208,22,310,19,55,4,35,28,31,951
1293.305085,Up-ground,46,60,25,25,3,59,5,162,15,51,7,64,5,40,567
1299.661017,Up-ground,104,17,1,37,20,53,32,126,15,22,4,10,12,32,485
1306.016949,Up-ground,208,10,21,40,30,125,45,155,16,95,6,36,13,14,814
1312.372881,Up-ground,180,20,5,48,18,48,43,239,32,45,6,23,5,16,728
1318.728814,Up-ground,208,37,4,41,15,66,55,147,40,160,5,26,17,9,830
1325.084746,Up-ground,149,0,0,85,3,85,31,200,15,71,5,5,8,53,710
